"","X1.length.max_col_vals.","X1","X2","unlist.train_accs.","unlist.test_accs."
"1",1,"5000","4996",0.866141732283465,0.774881516587678
"2",2,"4500","4497",0.856692913385827,0.774881516587678
"3",3,"4000","3999",0.852755905511811,0.774881516587678
"4",4,"3500","3499",0.849606299212598,0.765402843601896
"5",5,"3000","2999",0.846456692913386,0.758293838862559
"6",6,"2500","2499",0.837795275590551,0.760663507109005
"7",7,"2000","1999",0.833070866141732,0.779620853080569
"8",8,"1500","1499",0.820472440944882,0.774881516587678
"9",9,"1000","1000",0.813385826771653,0.772511848341232
"10",10,"500","500",0.788976377952756,0.753554502369668
"11",11,"400","400",0.78503937007874,0.751184834123223
"12",12,"300","300",0.773228346456693,0.760663507109005
"13",13,"200","200",0.744094488188976,0.734597156398104
"14",14,"100","100",0.740157480314961,0.73696682464455
